,nom,ref,bp,married,age_married,where_met_spouse,how_met_spouse,married_before,times_married_before,prev_spouse_dead,prev_spouse_div,polygamy_ever,clan.x,clan_mum,clan_dad,clan_spouse,ref_spouse,bp_spouse,kids.x,kids_alive.x,camp_name.x,house_num,house_ppl,time_camp,sex.x,age_group.x,region,year,clan.y,camp_name.y,sex.y,age_group.y,kids.y,kids_alive.y,residence_camp,camp_region,loc,people_number_2022,set_type
30,Bete1,M242,Bangui,1,Adulte,Bangui,foraging,1,2,,1,0,Bokiba,Bokiba,Bobe,Bokiba et Eepe,254,Mboule,NA,5,Bete1,1,3,1,M,Adulte,Macao,2023,Bokiba,Bete 1,M,Adulte,1,5,Bete1,C,V,15,village_camp
31,Bete1,M243,Mboule,1,Adulte,,foraging,0,,,NA,0,Bolobe,Boyemba,Bolobe,Bokiba,253,Bangui,NA,5,Bete1,1,3,1,F,Adulte,Macao,2023,Bolobe,Bete 1,F,Adulte,1,5,Bete1,C,V,15,village_camp
32,Bete1,M244,,1,Adulte,Bangui,funeral,1,2,1,1,0,Baala,Bokwete,Baala,Bombingo,,Bangui,NA,3,Bete1,2,4,1,F,Personne agee,Macao,2023,Baala,Bete 1,F,Personne agee,1,3,Bete1,C,V,15,village_camp
33,Bete1,M245,Bangui,1,Adulte,Bangui,foraging,0,,,NA,1,Bokiba,Eepe,Bokiba,Emanongo,,Bangui,NA,4,Bete1,2,4,1,M,Adulte,Macao,2023,Bokiba,Bete 1,M,Adulte,1,4,Bete1,C,V,15,village_camp
34,Payo,M246,,1,Enfant,Bangui,funeral,0,,,NA,1,Boyemba,Bobondjo,Boyemba,Boundja,260,Bangui,NA,5,Payo,6,2,1,M,Adulte,Macao,2023,Boyemba,Payo,M,Adulte,1,5,Payo,C,V,28,village_camp
35,Payo,M247,Bangui,0,,,,1,1,1,NA,0,Bobondjo,,,,,Bangui,NA,3,Payo,7,2,2,F,Personne agee,Macao,2023,Bobondjo,Payo,F,Personne agee,1,3,Payo,C,V,28,village_camp
36,Payo,M248,,1,Enfant,Bangui,funeral,0,,,NA,0,Boundja,Bongomba,Boundja,Boyemba,258,Boua1,NA,5,Payo,6,2,1,F,Adulte,Macao,2023,Boundja,Payo,F,Adulte,1,5,Payo,C,V,28,village_camp
37,Bonga1,M251,Mboule,1,Adolescent,Bangui,foraging,0,,,NA,0,Ekao,Ebouye,Ekao,,264,Bobate,NA,5,Bonga1,4,7,1,,Adulte,Macao,2023,Ekao,Bonga 1,,Adulte,1,5,Bonga1,C,V,34,village_camp
38,Bonga1,,Bangui,1,Adolescent,,foraging,0,,,NA,0,Sambala,Bombingo,Sambala,Bokobya,263,Mboule,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,,M252,,1,Enfant,,,0,,,NA,0,Boundja,,Boundja,Bokiba,266,Bangui,NA,1,Bete1,3,4,1,F,Adolescent,Macao,2023,Boundja,Bete 1,F,Adolescent,1,1,Bete1,C,V,15,village_camp
40,Bete1,M253,,1,Adolescent,,foraging,0,,,NA,0,,Bongomba,Emanongo,Bokiba,257,Bangui,NA,6,Bete1,2,4,1,F,Adulte,Macao,2023,,Bete 1,F,Adulte,1,6,Bete1,C,V,15,village_camp
41,Bete1,M254,Bangui,1,Adolescent,Bete1,funeral,1,1,1,NA,0,Eepe,,Eepe,Bokiba,269,Bangui,NA,1,Bete1,4,3,2,M,Adolescent,Macao,2023,Eepe,Bete 1,M,Adolescent,1,1,Bete1,C,V,15,village_camp
42,Bete1,M255,Bangui,1,Adolescent,Bangui,funeral,0,,,NA,0,Bokiba,Bolobe,Bokiba,Baaka,268,Bangui,NA,1,Bete1,4,3,1,F,Adolescent,Macao,2023,Bokiba,Bete 1,F,Adolescent,1,1,Bete1,C,V,15,village_camp
43,,,,0,,,,0,,,NA,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,Payo,M257,Bangui,1,Enfant,Bangui,foraging,1,1,,1,0,Boyemba,Boundja,Boyemba,,230,Bangui,NA,0,Payo,1,2,1,F,Adolescent,Macao,2023,Boyemba,Payo,F,Adolescent,0,0,Payo,C,V,28,village_camp
45,Bonga1,M258,,1,Adulte,Bangui,foraging,0,,,NA,0,Bombingo,Emeke,Bombingo,Ebeke,,Bangui,NA,3,Bonga1,4,4,1,F,Personne agee,Macao,2023,Bombingo,Bonga 1,F,Personne agee,1,3,Bonga1,C,V,34,village_camp
46,Bonga1,M259,Bangui,1,Adolescent,Bangui,funeral,0,,,NA,0,Bokiba,Emeke,Bokiba,Sambala,,Bangui,NA,1,Bonga1,5,3,1,F,Adulte,Macao,2023,Bokiba,Bonga 1,F,Adulte,1,1,Bonga1,C,V,34,village_camp
47,Bonga1,M260,Bangui,1,Adulte,Bangui,funeral,0,,,NA,0,Bombela,Bokiba,Bombela,Bokobya,223,Bangui,NA,1,Bonga1,3,3,2,F,Adulte,Macao,2023,Bombela,Bonga 1,F,Adulte,1,1,Bonga1,C,V,34,village_camp
48,Bonga1,M261,Bangui,1,Adulte,Bangui,home_visit,0,,,NA,0,Bokiba,Epunga,Bokiba,Boyemba,,Bangui,NA,4,Bonga1,6,4,1,F,Adulte,Macao,2023,Bokiba,Bonga 1,F,Adulte,1,4,Bonga1,C,V,34,village_camp
49,Bete2,M262,Bangui,1,Adolescent,Bangui,funeral,0,,,NA,0,Engouta,Bodzemba,Engouta,Bongomba,,Bangui,NA,5,Bete2,1,7,5,F,Adulte,Macao,2023,Engouta,Bete 2,F,Adulte,1,5,Bete2,C,V,25,village_camp
50,Bete2,M263,Bangui,1,Adulte,Bangui,home_visit,1,1,1,NA,0,Boyemba,,Boyemba,Emeke,,Bangui,NA,5,Bete2,3,3,5,F,Adulte,Macao,2023,Boyemba,Bete 2,F,Adulte,1,5,Bete2,C,V,25,village_camp
51,Bete2,M264,Bangui,1,Adulte,Bangui,funeral,1,1,,1,0,Bokosso,,Bokosso,Bombingo,Mort,Bangui,NA,1,Bete2,4,2,5,F,Personne agee,Macao,2023,Bokosso,Bete 2,F,Personne agee,1,1,Bete2,C,V,25,village_camp
52,Bete2,M265,Bangui,1,Adulte,Bangui,funeral,1,1,,1,0,Bokosso,Boundja,Bokosso,Emeke,283,Bangui,NA,4,Bete2,5,6,5,M,Adulte,Macao,2023,Bokosso,Bete 2,M,Adulte,1,4,Bete2,C,V,25,village_camp
53,Bete2,M266,Bangui,1,Adolescent,Bangui,funeral,0,,,NA,0,Emeke,Boyemba,Emeke,Bokosso,282,Bangui,NA,4,Bete2,NA,6,5,F,Adulte,Macao,2023,Emeke,Bete 2,F,Adulte,1,4,Bete2,C,V,25,village_camp
54,Bete2,M267,Bangui,1,Adolescent,Bangui,funeral,0,,,NA,1,Bongomba,Bombomo,Bongomba,Engouta,,Bangui,NA,10,Bete2,1,7,3,M,Adulte,Macao,2023,Bongomba,Bete 2,M,Adulte,1,10,Bete2,C,V,25,village_camp
55,Bete3,M268,Bangui,1,Adolescent,Bangui,village,0,,,NA,0,Bombela,Bombingo,Bombela,Bondza,,Bangui,NA,3,Bete3,NA,NA,NA,F,Adulte,Macao,2023,Bombela,Bete 3,F,Adulte,1,3,Bete3,C,V,8,village_camp
56,Bete2,M270,Bangui,1,Adolescent,Bangui,foraging,0,,,NA,0,Eepe,Ponga,Eepe,Boyemba,,Bangui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,Mboule,M96,Bangui,1,Adolescent,Mboule,foraging,0,,,NA,1,Bolobe,Emeke,Bolobe,Ponga,301,Bangui,1,NA,Kakelo1,3,2,2,M,Adulte,Macao,2022,NA,NA,NA,NA,NA,NA,Kakelo1,C,F,NA,forest_camp
58,Mboule,M97,Bangui,1,Adolescent,Bangui,home_visit,0,,,NA,0,Ponga,Bongomba,Ponga,Bolobe,300,Bangui,1,NA,Kakelo1,3,2,2,F,Adulte,Macao,2022,NA,NA,NA,NA,NA,NA,Kakelo1,C,F,NA,forest_camp
59,Mboule,M271,Bangui,1,Adolescent,Mboule,foraging,0,,,NA,0,Bolobe,Ponga,Bolobe,Bokosso,303,Bangui,NA,4,Mboule,2,6,5,M,Adulte,Macao,2023,Bolobe,Mboule,M,Adulte,1,4,Mboule,C,V,59,village_camp
60,Mboule,M272,Bangui,1,Adulte,Mboule,foraging,1,1,,1,0,Bokosso,Sambala,Bokosso,Bolobe,302,Bangui,NA,4,Mboule,2,6,5,M,Adulte,Macao,2023,Bokosso,Mboule,M,Adulte,1,4,Mboule,C,V,59,village_camp
61,Mboule,M273,Bangui,1,Adolescent,Bangui,home_visit,0,,,NA,0,Bokosso,Bolobe,Bokosso,Boudje,305,Bangui,NA,0,Mboule,3,2,5,F,Adolescent,Macao,2023,Bokosso,Mboule,F,Adolescent,0,0,Mboule,C,V,59,village_camp
62,Mboule,M274,Bangui,1,Adolescent,Mboule,foraging,0,,,NA,0,Eepe,Endumu,Eepe,Bokosso,304,Bangui,NA,0,Mboule,3,2,2,M,Adolescent,Macao,2023,Eepe,Mboule,M,Adolescent,0,0,Mboule,C,V,59,village_camp
63,Mboule,M275,Bangui,1,Adulte,Mboule,funeral,0,,,NA,0,Bodzoyi,,Bodzoyi,,Morte,,NA,3,Mboule,4,1,5,M,Personne agee,Macao,2023,Bodzoyi,Mboule,M,Personne agee,1,3,Mboule,C,V,59,village_camp
64,Mboule,M131,Bangui,1,Adolescent,Bangui,funeral,1,2,,1,1,Bonde,,,,310,Bangui,1,2,Kakelo2,2,5,NA,M,Adulte,Macao,2022,NA,NA,NA,NA,NA,NA,Kakelo2,C,F,11,forest_camp
65,Mboule,M132,Bangui,1,Adolescent,Bangui,funeral,0,,,NA,0,Sambala,Engando,Sambala,,309,Bangui,1,2,Kakelo2,2,5,1,F,Adulte,Macao,2022,NA,NA,NA,NA,NA,NA,Kakelo2,C,F,11,forest_camp
66,Mboule,M134,Mboule,1,Adolescent,Bangui,home_visit,0,,,NA,0,Emabote,Donda,Sie,Mandanda,312,Bangui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,Mboule,M67,,1,Adolescent,Bangui,foraging,0,,,NA,0,Mandanga,,,,314,Bangui,1,0,Boua1,2,3,2,M,Adulte,Macao,2022,NA,NA,NA,NA,NA,NA,Boua1,C,F,17,forest_camp
68,Mboule,M140,Bangui,1,Adolescent,Bobate,funeral,0,,,NA,0,Bobe,Emeke,Bobe,Bonguima,316,Mboule,1,4,Kakelo3,2,3,2,M,Adulte,Macao,2022,NA,NA,NA,NA,NA,NA,Kakelo3,C,F,11,forest_camp
69,Mboule,M148,Bangui,1,Adolescent,Bangui,funeral,0,,,NA,0,Bonguima,Bokosso,Bonguima,Bobe,315,Bangui,NA,NA,Kakelo3,2,3,2,F,Adulte,Macao,2022,NA,NA,NA,NA,NA,NA,Kakelo3,C,F,11,forest_camp
70,Mboule,M277,,1,Adulte,,foraging,0,,,NA,0,Boudje,Bodongo,Boudje,Ekao,318,,NA,7,Mboule,8,10,5,F,Personne agee,Macao,2023,Boudje,Mboule,F,Personne agee,1,7,Mboule,C,V,59,village_camp
71,Mboule,M74,Bangui,1,Adulte,Bangui,home_visit,0,,,NA,1,Boudje,Bobondjo,Boudje,"Emeke, Bokosso",320,Bangui,1,4,Boua2,3,2,2,M,Adulte,Macao,2022,NA,NA,NA,NA,NA,NA,Boua2,C,F,25,forest_camp
72,Mboule,M75,Bangui,1,Adolescent,Bangui,foraging,0,,,NA,0,Emeke,,Emeke,Boudje,319,Bangui,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,Mboule,M278,Mboule,1,Adolescent,Mboule,village,0,,,NA,0,,,,,321,Bangui,NA,3,Mboule,10,5,2,M,Adulte,Macao,2023,,Mboule,M,Adulte,1,3,Mboule,C,V,59,village_camp
74,Mboule,M280,Bangui,1,Adulte,Mboule,home_visit,0,,,NA,0,Bodzoyi,,,,,Bangui,NA,1,Mboule,11,2,2,F,Adulte,Macao,2023,,Mboule,F,Adulte,1,1,Mboule,C,V,59,village_camp
75,Mboule,M281,Mboule,1,Adolescent,Bangui,foraging,0,,,NA,0,Ekao,Boudje,Ekao,Sambala,,Mboule,NA,2,Mboule,8,10,5,F,Adulte,Macao,2023,Ekao,Mboule,F,Adulte,1,2,Mboule,C,V,59,village_camp
76,Mboule,,Bangui,1,Adolescent,Bangui,home_visit,0,,,NA,0,Emeke,Bongomba,Emeke,Boyombia,313,Bangui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,Mboule,M282,Bangui,1,Adolescent,Mboule,funeral,0,,,NA,1,Bongomba,,Bongomba,Emokumu,"329,330","Bangui, Bangui",NA,4,Mboule,13,2,1,M,Adulte,Macao,2023,Bongomba,Mboule,M,Adulte,1,4,Mboule,C,V,59,village_camp
78,Mboule,M283,Bangui,1,Adolescent,Bangui,funeral,0,,,NA,0,Emokumu,Mobe,Boyombya,Bongomba,328,Bangui,NA,2,Mboule,13,2,2,F,Adulte,Macao,2023,Moponga,Mboule,F,Adulte,1,2,Mboule,C,V,59,village_camp
79,Mboule,M284,Bangui,1,Adolescent,Bangui,funeral,1,1,,1,0,Bodzoyi,,Bodzoyi,,328,,NA,3,Mboule,14,4,2,F,Adulte,Macao,2023,Bodzoyi,Mboule,F,Adulte,1,3,Mboule,C,V,59,village_camp
80,Mboule,M298,Bangui,1,Adolescent,Bangui,funeral,0,,,NA,0,Bolobe,Bonguima,Bolobe,Bongomba,336,Bangui,NA,0,Mboule,NA,NA,2,M,Adolescent,Macao,2023,Bolobe,Mboule,M,Adolescent,0,0,Mboule,C,V,59,village_camp
81,Mboule,,Bangui,1,Adolescent,Bangui,funeral,0,,,NA,0,Bongomba,Emeke,Bongomba,Bolobe,335,Bangui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,Mboule,M285,Bangui,0,,,,0,,,NA,0,Bodzoyi,,Bodzoyi,,,,NA,0,Mboule,NA,NA,NA,M,Adolescent,Macao,2023,Bodzoyi,Mboule,M,Adolescent,0,0,Mboule,C,V,59,village_camp
83,Mboule,M286,Bangui,1,Adulte,Bangui,village,0,,,NA,0,Bodzoyi,,Bodzoyi,Kombia,Mort,Bangui,NA,2,Mboule,NA,4,2,F,Adulte,Macao,2023,Bodzoyi,Mboule,F,Adulte,1,2,Mboule,C,V,59,village_camp
84,Mboule,M287,Bangui,1,Adolescent,Bobate,funeral,0,,,NA,0,Boudja,Bodzoyi,Boudje,,340,Bangui,NA,0,Mboule,NA,2,1,F,Adolescent,Macao,2023,Boudja,Mboule,F,Adolescent,0,0,Mboule,C,V,59,village_camp
85,Mboule,M136,Bangui,1,Adulte,Bangui,foraging,1,1,,1,0,Bongomba,Bombya,Bongomba,Emeke,342,Bobate,1,4,Boua2,6,2,NA,F,Adulte,Macao,2022,NA,NA,NA,NA,NA,NA,Boua2,C,F,25,forest_camp
86,Mboule,M130,Bangui,1,Adulte,Bangui,foraging,1,2,1,1,1,Emeke,Bombingo,Emeke,Bongomba,341,Bangui,1,4,Boua2,6,2,2,M,Adulte,Macao,2022,NA,NA,NA,NA,NA,NA,Boua2,C,F,25,forest_camp
87,Goumakongou2,M288,Bangui,1,Adulte,Bolobe,funeral,1,2,1,NA,0,Bonguima,Bombongo,Bonguima,Epele,346,Bangui,NA,6,Goumakoungou2,1,3,1,M,Personne agee,Macao,2023,Bonguima,Goumakongou 2,M,Personne agee,1,6,Goumakoungou2,C,F,12,forest_camp
88,Goumakongou2,M373,Bangui,1,Adolescent,Mboule,funeral,1,1,1,NA,0,Bombongo,Emeke,Bombongo,Emokumu,,Bangui,NA,1,Goumakoungou2,4,4,1,F,Personne agee,Macao,2023,Bombongo,Goumakoungou 2,F,Personne agee,1,1,Goumakoungou2,C,F,12,forest_camp
89,Goumakongou2,M289,Bangui,1,Adulte,Bangui,funeral,1,,,1,0,Eepe,Bodzoyi,Eepe,Bonguima,344,Bangui,NA,7,Goumakoungou2,1,3,1,F,Adulte,Macao,2023,Eepe,Goumakongou 2,F,Adulte,1,7,Goumakoungou2,C,F,12,forest_camp
90,Goumakongou2,M290,Bangui,1,Adolescent,Mboule,funeral,1,1,1,NA,0,Bodzoyi,Bokwete,Bodzoyi,Eepe,Mort,Bangui,NA,3,Goumakoungou2,2,2,1,F,Personne agee,Macao,2023,Bodzoyi,Goumakongou 2,F,Personne agee,1,3,Goumakoungou2,C,F,12,forest_camp
91,Goumakongou2,M291,Bangui,1,Adulte,Bangui,village,0,,,NA,0,Eepe,Bodzoyi,Eepe,,,Bandza,NA,1,Goumakoungou2,3,1,1,M,Adulte,Macao,2023,Eepe,Goumakongou 2,M,Adulte,1,1,Goumakoungou2,C,F,12,forest_camp
92,Goumakongou2,M293,Bangui,1,Adolescent,bangui,foraging,1,1,,1,0,Kalanga,Boudje,Kalanga,Bonguima,350,Bangui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,Goumakongou2,M294,Bangui,1,Adolescent,Bangui,foraging,0,,,NA,0,Bonguima,Eepe,Bonguima,Kalanga,349,Bangui,NA,0,Goumakoungou2,5,2,1,F,Adolescent,Macao,2023,Bonguima,Goumakoungou 2,F,Adolescent,0,0,Goumakoungou2,C,F,12,forest_camp
94,Goumakongou2,M295,Bangui,0,,,,0,,,NA,0,Bonguima,Eepe,Bonguima,,,,NA,0,Goumakoungou2,4,4,2,F,Adolescent,Macao,2023,Bonguima,Goumakoungou 2,F,Adolescent,0,0,Goumakoungou2,C,F,12,forest_camp
95,Keke,M296,Djoube,1,Adulte,Djoube,village,1,2,,1,0,Kalanga,,,,353,Bangui,NA,7,Keke,1,6,2,M,Adulte,Macao,2023,Kalanga,Keke,M,Adulte,1,7,Keke,C,F,39,forest_camp
96,Keke,M297,Bangui,1,Adulte,Bangui,village,1,1,,1,0,Boudje,,Boudje,Kalanga,352,Djoube,NA,6,Keke,1,6,2,F,Adulte,Macao,2023,Ebuye,Keke,F,Adulte,1,6,Keke,C,F,39,forest_camp
97,Keke,M299,Djoube,1,Adulte,Djoube,funeral,1,1,,1,0,,,,,357,Djoube,NA,3,Keke,2,5,1,M,Adulte,Macao,2023,,Keke,M,Adulte,1,3,Keke,C,F,39,forest_camp
98,Keke,M300,Djoube,1,Adolescent,Djoube,funeral,1,1,,1,0,Kalanga,Budje,Kalanga,Bondongo,356,Djoube,NA,3,Keke,2,5,2,F,Adulte,Macao,2023,Kalanga,Keke,F,Adulte,1,3,Keke,C,F,39,forest_camp
99,Keke,M301,Mboule,1,Adulte,Bangui,funeral,1,2,,1,1,Boudje,Boudje,,,"359,360","Bobate, Mboule",NA,8,Keke,3,6,1,M,Adulte,Macao,2023,Boudje,Keke,M,Adulte,1,8,Keke,C,F,39,forest_camp
100,Keke,M303,,1,Adolescent,Bangui,funeral,1,1,,1,0,Bokwete,Bobondjo,Bokwete,Boudje,358,Mboule,NA,3,Keke,3,6,2,F,Adulte,Macao,2023,Bokwete,Keke,F,Adulte,1,3,Keke,C,F,39,forest_camp
